ARCH: blackhole, CHIP_FREQ[MHz]: 1350, Max Compute Cores: 140
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID, trace id, trace id counter, zone name, type, source line, source file, meta data
0,1,2,BRISC,27577,142780252296,0,0,,,BRISC-FW,ZONE_START,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,15955,142780253211,0,0,,,BRISC-KERNEL,ZONE_START,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,15955,142780419497,0,0,,,BRISC-KERNEL,ZONE_END,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,27577,142780428179,0,0,,,BRISC-FW,ZONE_END,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,NCRISC,15530,142780252445,0,0,,,NCRISC-FW,ZONE_START,127,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,2,NCRISC,10352,142780253210,0,0,,,NCRISC-KERNEL,ZONE_START,69,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,2,NCRISC,10352,142780428010,0,0,,,NCRISC-KERNEL,ZONE_END,69,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,2,NCRISC,15530,142780428036,0,0,,,NCRISC-FW,ZONE_END,127,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,2,TRISC_0,31365,142780252552,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_0,29986,142780253229,0,0,,,TRISC-KERNEL,ZONE_START,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_0,29986,142780425161,0,0,,,TRISC-KERNEL,ZONE_END,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_0,31365,142780426361,0,0,,,TRISC-FW,ZONE_END,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_1,31365,142780252553,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_1,29986,142780253218,0,0,,,TRISC-KERNEL,ZONE_START,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_1,29986,142780425071,0,0,,,TRISC-KERNEL,ZONE_END,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_1,31365,142780426370,0,0,,,TRISC-FW,ZONE_END,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_2,31365,142780252549,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_2,29986,142780253214,0,0,,,TRISC-KERNEL,ZONE_START,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_2,29986,142780427191,0,0,,,TRISC-KERNEL,ZONE_END,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_2,31365,142780427241,0,0,,,TRISC-FW,ZONE_END,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,2,2,BRISC,27577,142780252810,0,0,,,BRISC-FW,ZONE_START,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,2,2,BRISC,15955,142780253549,0,0,,,BRISC-KERNEL,ZONE_START,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,2,2,BRISC,15955,142780419332,0,0,,,BRISC-KERNEL,ZONE_END,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,2,2,BRISC,27577,142780427608,0,0,,,BRISC-FW,ZONE_END,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,2,2,NCRISC,15530,142780252961,0,0,,,NCRISC-FW,ZONE_START,127,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,2,2,NCRISC,10352,142780253445,0,0,,,NCRISC-KERNEL,ZONE_START,69,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
